,videoId,authorID,commentID,publishedAt,isReply,date,hour,cleaned_comment,comment_length
0,KmQLhtlHO1o,7729,5978,11/1/24 14:43,FALSE,11/1/24,14,meet the wall street bigwig who has become trumps headhunter in chief,12
1,mSBtHTBzg_Y,7729,6669,10/31/24 14:01,FALSE,10/31/24,14,pennsylvania has already become ground zero for electionfraud claims,9
2,_8angMZlmRo,7729,4021,11/5/24 5:09,FALSE,11/5/24,5,harriss and trumps paths to victory in the 2024 election,10
3,Ufkwk8mWs9o,7729,6942,10/29/24 14:01,FALSE,10/29/24,14,robinhood rolls out presidential election betting,6
4,rOkfpDzRkGM,7729,4329,10/30/24 14:04,FALSE,10/30/24,14,how the election results will raise or lower your taxes,10
5,pAVE7fZm9v0,7729,3704,11/5/24 20:29,FALSE,11/5/24,20,follow live election day coverage here,6
6,KmQLhtlHO1o,3288,11206,11/1/24 14:54,TRUE,11/1/24,14,your bias is disgusting,4
7,KmQLhtlHO1o,5443,990,11/1/24 16:36,TRUE,11/1/24,16,brendolbreadwar2671 when even wsj and fox go against your view maybe its time to reevaluate,15
8,KmQLhtlHO1o,1300,2923,11/1/24 17:26,TRUE,11/1/24,17,can you share your portfolio going into the month of november related to crypto forex investment id love to trade mine with an expert,24
9,KmQLhtlHO1o,1420,4686,11/1/24 18:56,TRUE,11/1/24,18,i think the posters personal assistant coach hilder trades for everyone i meet i met her twice at a meeting in connecticut and after her lectures from her i had to personally ask her to be my financial advisor she is definitely good,43
10,KmQLhtlHO1o,3306,4527,11/1/24 18:57,TRUE,11/1/24,18,i have never seen a trader as open and transparent as coach hilder with her clients the way she decides to make a profit for her clients she allows you to express your fears and she still rests your fears and that is my respect i dont normally comment on videos but this word should be included she is really cool,61
11,KmQLhtlHO1o,1149,2977,11/1/24 19:00,TRUE,11/1/24,19,coach hilder is definitely the best so far she always surprises me with amazing results we also plan to surprise her you must have heard of it,27
12,KmQLhtlHO1o,1149,7037,11/1/24 19:04,TRUE,11/1/24,19,she is always active,4
13,KmQLhtlHO1o,1149,1872,11/1/24 19:05,TRUE,11/1/24,19,"hildertrades

thats her username",4
14,KmQLhtlHO1o,5443,1910,11/1/24 19:42,TRUE,11/1/24,19,wsj both your yt comment section and articles comment sections are filled with bots especially articles with elon in it,20
15,KmQLhtlHO1o,4985,5895,11/1/24 21:46,TRUE,11/1/24,21,musk if trump wins us elections there will be temporary hardship for all  man does this man remind me of jared from subway,23
16,KmQLhtlHO1o,6330,3865,11/1/24 22:06,TRUE,11/1/24,22,good  newspapers shouldnt back down from a demagogue who calls the free press the enemy of the people,18
17,KmQLhtlHO1o,1277,9987,11/2/24 3:09,TRUE,11/2/24,3,"wrong its classical rcism musk is apartheid south african so is david sacks and peter theil german origin grew up in south west africa and both sacks and peter theil were together at stanford and they later apologized for a rcist book theyd written together 

marc praised got kicked out facebook when he paised colonialism and the british empire",59
18,KmQLhtlHO1o,4449,2789,11/2/24 5:35,TRUE,11/2/24,5,boss just sell some tesla stocks or seek money from somewhere the keyword is radioactive kamala still can win and my dreams 50 still happening even with maximum effort to change,31
19,KmQLhtlHO1o,7628,6846,11/2/24 15:40,TRUE,11/2/24,15,real question is  why 95 of media and 99 of billionaires and elites want kamala harris to win the election at any cost why all the richest people excluding elon have endorsed kamala why the entire hollywood including all the people in epsteins and diddys list have endorsed kamala what are they afraid of if trump wins are they afraid that he will release epstein list are they afraid that he will take revenge of all the assassination attempts that the leftist liberals demoncrats have done on him,88
20,KmQLhtlHO1o,6328,1353,11/2/24 23:10,TRUE,11/2/24,23,long2181998 maybe youre a bot too,6
21,KmQLhtlHO1o,4633,3320,11/3/24 15:49,TRUE,11/3/24,15,easy to know why he supports trump musk knows that chinese evs would easily destroy tesla if they were over here in the states,24
22,KmQLhtlHO1o,7628,1942,11/3/24 20:25,TRUE,11/3/24,20,inquisitvem6723  can you also tell us why 99 of billionaires except elon and 100 of hollywood is supporting kamala what are they afraid of trump releasing epstein and diddys client list,31
23,KmQLhtlHO1o,6459,3469,11/5/24 12:50,TRUE,11/5/24,12,elon musk is a communist openly supporting soviet union in invading ukraine and uniting rest of europe as a soviet slave state the greatest enemy of america,27
24,KmQLhtlHO1o,173,10133,11/5/24 17:17,TRUE,11/5/24,17,yet you never do a video on bill gates  george soros and zuckerberg and their huge contributions because  you guys are paid for and brought by democrat and 3 letter agencies  funding george soros and bill gates fill your pockets and sponsored these videos,44
25,KmQLhtlHO1o,4349,8863,11/5/24 23:56,FALSE,11/5/24,23,trump vance,2
26,KmQLhtlHO1o,4349,10089,11/5/24 23:55,FALSE,11/5/24,23,yes im with you elon i want trump to win,10
27,KmQLhtlHO1o,3235,8298,11/5/24 23:55,FALSE,11/5/24,23,they just want to control tech steal new startups make one large cartel,13
28,KmQLhtlHO1o,4076,9651,11/5/24 23:50,FALSE,11/5/24,23,where is silicon valley which state,6
29,KmQLhtlHO1o,132,3942,11/5/24 23:46,FALSE,11/5/24,23,guy that worked with elon musk on hyperloop does not deserve to be in this news story,17
30,KmQLhtlHO1o,4408,10534,11/5/24 23:42,FALSE,11/5/24,23,elon is going down with the collapsing maga dumpster fire will take tesla down with him,16
31,KmQLhtlHO1o,2301,9674,11/5/24 23:40,FALSE,11/5/24,23,while boeing still struggles with their spacecraft and use russian rocket engines musk has launched hundreds of rockets already,19
32,KmQLhtlHO1o,6936,5496,11/5/24 23:25,FALSE,11/5/24,23,im right there with you elon so many of us democrats are choosing to vote for trump because we woke up,21
33,KmQLhtlHO1o,5095,3364,11/5/24 23:22,FALSE,11/5/24,23,elon musk is a complete idiot  all he knows how to do is hire geniuses and then fire them to steal their ideas,23
34,KmQLhtlHO1o,5057,9979,11/5/24 23:14,FALSE,11/5/24,23,wow you tube is suppressing wow what a surprise  youre idiots,11
35,KmQLhtlHO1o,4364,2196,11/5/24 23:07,FALSE,11/5/24,23,all you woke mobs  going to be   mad later this week lets go trump 24,15
36,KmQLhtlHO1o,74,4878,11/5/24 22:45,FALSE,11/5/24,22,if trump wins musk wil great again,7
37,KmQLhtlHO1o,798,9374,11/5/24 22:43,FALSE,11/5/24,22,we want smart business gurus in office not people who still believe a man can be a women and vice versa,21
38,KmQLhtlHO1o,798,6042,11/5/24 22:44,TRUE,11/5/24,22,most of these demies all have massive asset portfolios themselves and work in their favor only,16
39,KmQLhtlHO1o,1397,4193,11/5/24 22:37,FALSE,11/5/24,22,heyelon big fan any chance you might be vice presidentlooking forward to test outthoseself drivingvehiclessomeday keep up the good work your  greatest fan roman,24
40,KmQLhtlHO1o,2235,9608,11/5/24 22:30,FALSE,11/5/24,22,when are we going to stop giving him welfare for billionaire in the form of government contracts and carbon credit  american taxpayers have singlehandedly made him the richest man in america,31
42,KmQLhtlHO1o,2235,9620,11/5/24 22:29,FALSE,11/5/24,22,when is someone going to tell elon that republicans dont buy electric cars,13
43,KmQLhtlHO1o,3728,2678,11/5/24 22:26,FALSE,11/5/24,22,"biden administration has slowed tech progress in favor of illegal immigrants wars in other countries and inflation the worst part is there are no clear policies on how to reduce national debt 

makes sense people are now shifting  changing to the republican party 

imagine who is behind gary genslers disastrous work or elizabeth warrens hipocresy for hiding all the pedos or hilary clinton and mr kerr trying to remove the 1st amendment

nyt time to expose all this",78
44,KmQLhtlHO1o,4308,7521,11/5/24 22:23,FALSE,11/5/24,22,technofeudalism,1
45,KmQLhtlHO1o,2829,4657,11/5/24 22:13,FALSE,11/5/24,22,i smell money lol,4
46,KmQLhtlHO1o,4976,3687,11/5/24 22:02,FALSE,11/5/24,22,fingers crossed he wins,4
47,KmQLhtlHO1o,5001,9286,11/5/24 21:57,FALSE,11/5/24,21,wall street journal seems as desperate as republicans,8
48,KmQLhtlHO1o,5001,120,11/5/24 21:56,FALSE,11/5/24,21,050 why are we talking about musk instead of the greatest hair youve seen,14
49,KmQLhtlHO1o,3482,10199,11/5/24 21:55,FALSE,11/5/24,21,you cant spell felon without elon,6
50,KmQLhtlHO1o,5001,2395,11/5/24 21:55,FALSE,11/5/24,21,are any of you in the comments watching left and right channels and noticing a disturbing bothpartieslying thing going on when you fact check them,25
51,KmQLhtlHO1o,4836,9633,11/5/24 21:49,FALSE,11/5/24,21,when they say free speech they dont really mean it  trump attacks free speech more that anyone else wanting to close news businesses that criticize him talking about locking up the opposition,32
